yr,mo,mag
1980,1,0
1980,1,1
1980,1,0
1980,1,0
1980,1,0
1980,2,1
1980,2,0
1980,2,0
1980,2,1
1980,2,1
1980,2,0
1980,2,0
1980,2,1
1980,2,0
1980,2,0
1980,2,1
1980,3,1
1980,3,3
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,2
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,0
1980,3,1
1980,3,1
1980,3,1
1980,3,2
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,0
1980,3,0
1980,3,1
1980,3,2
1980,3,1
1980,3,0
1980,3,0
1980,3,0
1980,3,1
1980,3,1
1980,3,1
1980,3,1
1980,3,0
1980,3,2
1980,4,2
1980,4,0
1980,4,0
1980,4,0
1980,4,0
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,4
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,0
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,2
1980,4,2
1980,4,2
1980,4,2
1980,4,2
1980,4,2
1980,4,3
1980,4,1
1980,4,2
1980,4,2
1980,4,3
1980,4,2
1980,4,2
1980,4,3
1980,4,3
1980,4,0
1980,4,3
1980,4,0
1980,4,2
1980,4,2
1980,4,2
1980,4,3
1980,4,0
1980,4,1
1980,4,1
1980,4,0
1980,4,2
1980,4,0
1980,4,0
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,1
1980,4,1
1980,4,2
1980,4,2
1980,4,1
1980,4,1
1980,4,2
1980,4,2
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,2
1980,4,2
1980,4,2
1980,4,0
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,0
1980,4,0
1980,4,0
1980,4,0
1980,4,2
1980,4,0
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,1
1980,4,1
1980,4,1
1980,4,1
1980,4,2
1980,4,2
1980,4,0
1980,4,1
1980,4,1
1980,4,0
1980,4,2
1980,4,2
1980,4,3
1980,4,2
1980,4,1
1980,4,0
1980,4,0
1980,4,0
1980,4,1
1980,4,0
1980,4,1
1980,4,0
1980,4,0
1980,4,0
1980,4,0
1980,4,1
1980,4,2
1980,4,1
1980,4,2
1980,4,2
1980,4,2
1980,4,0
1980,4,0
1980,4,0
1980,4,1
1980,4,1
1980,4,1
1980,4,0
1980,4,1
1980,4,2
1980,4,2
1980,4,1
1980,4,1
1980,4,0
1980,4,0
1980,4,2
1980,4,1
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,0
1980,5,1
1980,5,1
1980,5,2
1980,5,1
1980,5,0
1980,5,0
1980,5,2
1980,5,1
1980,5,1
1980,5,1
1980,5,2
1980,5,2
1980,5,2
1980,5,2
1980,5,3
1980,5,1
1980,5,2
1980,5,0
1980,5,3
1980,5,3
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,1
1980,5,3
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,2
1980,5,2
1980,5,1
1980,5,2
1980,5,2
1980,5,3
1980,5,3
1980,5,3
1980,5,1
1980,5,1
1980,5,2
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,2
1980,5,3
1980,5,0
1980,5,1
1980,5,1
1980,5,2
1980,5,2
1980,5,1
1980,5,0
1980,5,0
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,1
1980,5,1
1980,5,2
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,2
1980,5,2
1980,5,2
1980,5,3
1980,5,3
1980,5,1
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,2
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,2
1980,5,0
1980,5,2
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,0
1980,5,2
1980,5,2
1980,5,1
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,1
1980,5,1
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,0
1980,5,0
1980,5,0
1980,5,1
1980,5,1
1980,5,1
1980,5,2
1980,5,2
1980,5,1
1980,5,1
1980,6,2
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,2
1980,6,4
1980,6,0
1980,6,1
1980,6,1
1980,6,2
1980,6,2
1980,6,2
1980,6,3
1980,6,1
1980,6,2
1980,6,1
1980,6,1
1980,6,0
1980,6,1
1980,6,1
1980,6,1
1980,6,2
1980,6,3
1980,6,3
1980,6,4
1980,6,1
1980,6,2
1980,6,4
1980,6,2
1980,6,3
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,0
1980,6,1
1980,6,1
